,MO
% Above Low,0.18710000000000002
% Held by Institutions,0.6188
52-Wk Range,['30.95 - 53.11']
Annual Dividend $,3.36
Annual Dividend %,0.09570000000000001
Ask,37.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,36.74
Bid Size,100.0
Closing Price,36.74
Day Change $,1.64
Day Change %,0.0467
Day High,36.9
Day Low,35.44
Dividend Pay Date,2020-04-30 00:00:00
"EPS (TTM, GAAP)",-0.43
Ex-dividend,2020-03-24 00:00:00
Ex-dividend Date,03/24/20
Historical Volatility,0.354
Last (size),20.0
Last (time),6:30p ET 05/08/20
Market Cap,68.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,35.1
Shares Outstanding,1.9B
Short Interest,0.006500000000000001
Today's Open,35.63
Volume,8454236.0
Volume 10-day Avg,10468510.0
Volume Past Day,(Below Average)
