,LIN
Price/Earnings (TTM),43.15346
Price/Sales (TTM),3.46317
Price/Book (MRQ),2.16736
Price/Cash Flow (TTM),14.04464
5yr Low,145.95
5yr High,227.85
5yr Avg Return,0.08576666666666669
EPS Growth 5yr,-0.0691814
Revenue Growth 5yr,0.181261
Dividend Growth 5yr,0.061253
Short Int Current Month,6169164.0
Short Int Prev Month,6284994.0
Short Int Pct of Float,0.011615899999999998
Days to Cover,2.30858
Float,524.5699
Shares Outstanding,525.1824
Institutions Holding Shares,1596.0
% Held by Institutions,0.811685
FCF Growth 5yr,0.06000389177461898
