,TEL
Price/Earnings (TTM),37.13686
Price/Sales (TTM),1.93961
Price/Book (MRQ),2.80277
Price/Cash Flow (TTM),17.97999
5yr Low,48.62
5yr High,108.23
5yr Avg Return,0.04433333333333333
EPS Growth 5yr,0.08138260000000001
Revenue Growth 5yr,0.0235073
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,4541529.0
Short Int Prev Month,4851541.0
Short Int Pct of Float,0.0136242
Days to Cover,2.32319
Float,329.1955
Shares Outstanding,329.8479
Institutions Holding Shares,1028.0
% Held by Institutions,0.935168
FCF Growth 5yr,0.05181576467151381
