,TEL
% Below High,0.2401
% Held by Institutions,0.9351999999999999
52-Wk Range,['48.62 - 101.00']
Annual Dividend $,1.92
Annual Dividend %,0.0262
Ask,90.0
Ask Size,500.0
B/A Ratio,1.2
B/A Size,600x500
Beta,1.3
Bid,67.44
Bid Size,600.0
Closing Price,76.75
Day Change $,3.43
Day Change %,0.046799999999999994
Day High,77.17
Day Low,74.41
Dividend Pay Date,2020-06-05 00:00:00
"EPS (TTM, GAAP)",2.07
Ex-dividend,2020-05-21 00:00:00
Ex-dividend Date,05/21/20
Historical Volatility,0.44200000000000006
Last (size),30.0
Last (time),6:30p ET 05/08/20
Market Cap,25.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",37.14
Prev Close,73.32
Shares Outstanding,329.8M
Short Interest,0.013600000000000001
Today's Open,74.67
Volume,1668112.0
Volume 10-day Avg,1897375.0
Volume Past Day,(Below Average)
