,EBAY
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,35.0
Growth 1yr Low Est,-0.007299270072992692
Growth 1yr High Est,0.16725978647686834
Growth 1yr Consensus Est,0.07998025820193783
Growth 2yr Low Est,0.025762129669385903
Growth 2yr High Est,0.1872884298238
Growth 2yr Consensus Est,0.10652527974659295
Growth 5yr Low Est,0.10595338862450557
Growth 5yr High Est,0.17510789012557526
Growth 5yr Consensus Est,0.1405306393750404
Growth 5yr Actual/Est,0.14384560639622407
Growth 3yr Historic,0.09495689655172412
