,EBAY
Price/Earnings (TTM),19.14055
Price/Sales (TTM),2.75323
Price/Book (MRQ),13.71176
Price/Cash Flow (TTM),12.00592
5yr Low,21.52
5yr High,66.73
5yr Avg Return,0.0043833333333333285
EPS Growth 5yr,
Revenue Growth 5yr,0.042046200000000006
Dividend Growth 5yr,
Short Int Current Month,24847966.0
Short Int Prev Month,28474856.0
Short Int Pct of Float,0.0327223
Days to Cover,2.13567
Float,664.312
Shares Outstanding,700.8533
Institutions Holding Shares,1234.0
% Held by Institutions,1.041503
FCF Growth 5yr,-0.026825689881964654
