,ALXN
% Above Low,0.3395
% Held by Institutions,0.9120999999999999
52-Wk Range,['72.67 - 135.49']
Annual Dividend $,
Annual Dividend %,
Ask,98.09
Ask Size,100.0
Ask close,97.54
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,96.8
Bid Size,100.0
Bid close,97.27
Change Since Close,0.00| |(0.00%)
Closing Price,97.34
Day Change $,0.42
Day Change %,0.0043
Day High,98.49
Day Low,96.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",10.61
Ex-dividend Date,No dividend
Historical Volatility,0.423
Last (size),5.0
Last (time),4:00p ET 05/08/20
Last Trade,97.34
Market Cap,21.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.13
Prev Close,96.92
Shares Outstanding,220.8M
Short Interest,0.020499999999999997
Today's Open,98.11
Volume,2176373.0
Volume 10-day Avg,2527858.0
Volume Past Day,(Below Average)
