,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2017,Neutral,5.86,,,5.5,,5.93,,5.715,5.86,,
Year ending 12/2018,Neutral,7.92,,0.3515358361774743,7.47,0.35818181818181816,7.74,0.30522765598650947,7.605,7.92,0.3515358361774743,0.3317047370841638
Year ending 12/2019,Neutral,10.53,,0.3295454545454546,10.17,0.3614457831325302,10.65,0.375968992248062,10.41,10.53,0.3295454545454546,0.3687073876902961
Year ending 12/2020,Neutral,,10.9,0.0,10.44,0.026548672566371723,11.99,0.12582159624413136,10.9,10.9,0.03513770180436859,0.07618513440525154
Year ending 12/2021,Neutral,,11.68,0.0,8.13,-0.22126436781609182,14.73,0.22852376980817346,11.68,11.68,0.07155963302752277,0.003629700996040819
