,ALXN
Price/Earnings (TTM),9.13266
Price/Sales (TTM),4.04166
Price/Book (MRQ),1.82409
Price/Cash Flow (TTM),7.80291
5yr Low,72.67
5yr High,208.88
5yr Avg Return,-0.06491666666666666
EPS Growth 5yr,0.2683672
Revenue Growth 5yr,0.17444590000000001
Dividend Growth 5yr,
Short Int Current Month,4540333.0
Short Int Prev Month,4438928.0
Short Int Pct of Float,0.020499800000000002
Days to Cover,2.04342
Float,220.1726
Shares Outstanding,220.8274
Institutions Holding Shares,967.0
% Held by Institutions,0.912131
FCF Growth 5yr,1.642049735865978
