,ALXN
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.026548672566371723
Growth 1yr High Est,0.12582159624413136
Growth 1yr Consensus Est,0.07618513440525154
Growth 2yr Low Est,-0.09735784762486005
Growth 2yr High Est,0.1771726830261524
Growth 2yr Consensus Est,0.03990741770064618
Growth 5yr Low Est,0.13122797651615706
Growth 5yr High Est,0.2588855035717191
Growth 5yr Consensus Est,0.19505674004393808
Growth 5yr Actual/Est,0.19694465638870506
Growth 3yr Historic,0.17027032268073222
