,ORLY
Price/Earnings (TTM),22.59671
Price/Sales (TTM),2.92349
Price/Book (MRQ),274.3922
Price/Cash Flow (TTM),18.0874
5yr Low,169.43
5yr High,454.31
5yr Avg Return,0.12949999999999998
EPS Growth 5yr,0.1949895
Revenue Growth 5yr,0.0706137
Dividend Growth 5yr,
Short Int Current Month,1468284.0
Short Int Prev Month,1236876.0
Short Int Pct of Float,0.0197628
Days to Cover,1.76177
Float,72.93742
Shares Outstanding,74.19926
Institutions Holding Shares,1152.0
% Held by Institutions,0.858104
FCF Growth 5yr,0.04104900532340856
