,IR
% Below High,0.25129999999999997
% Held by Institutions,0.5962
52-Wk Range,"['17.01', ' - ', '38.96']"
Annual Dividend $,
Annual Dividend %,
Ask,29.44
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,28.8
Bid Size,100.0
Closing Price,29.17
Day Change $,1.49
Day Change %,0.0538
Day High,29.19
Day Low,27.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.76
Ex-dividend Date,No dividend
Historical Volatility,0.474
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,12.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,27.68
Shares Outstanding,416.6M
Short Interest,0.041100000000000005
Today's Open,28.21
Volume,1869989.0
Volume 10-day Avg,2227057.0
Volume Past Day,(Below Average)
