,IR
Price/Earnings (TTM),36.33404
Price/Sales (TTM),4.70264
Price/Book (MRQ),3.03557
Price/Cash Flow (TTM),34.19458
5yr Low,17.01
5yr High,38.96
5yr Avg Return,0.20447500000000002
EPS Growth 5yr,
Revenue Growth 5yr,-0.0093648
Dividend Growth 5yr,
Short Int Current Month,14139773.0
Short Int Prev Month,10570306.0
Short Int Pct of Float,0.0411341
Days to Cover,3.56207
Float,344.4028
Shares Outstanding,416.5612
Institutions Holding Shares,476.0
% Held by Institutions,0.596191
FCF Growth 5yr,0.1468499580288868
