,COST,Rating Since
newConstructs,3,2020-05-08
researchTeam,hold,2020-04-20
creditSuisse,neutral,2020-02-13
cfra,4,2019-12-10
theStreet,hold,2019-01-17
ford,2,2020-04-09
marketEdge opinion,long,2020-05-01
marketEdge,-2,2020-05-01
