,PWR
Price/Earnings (TTM),15.86693
Price/Sales (TTM),0.39198
Price/Book (MRQ),1.24839
Price/Cash Flow (TTM),7.69338
5yr Low,16.77
5yr High,44.09
5yr Avg Return,0.0898166666666667
EPS Growth 5yr,0.1733177
Revenue Growth 5yr,0.0934904
Dividend Growth 5yr,
Short Int Current Month,7416051.0
Short Int Prev Month,6544755.0
Short Int Pct of Float,0.052529599999999996
Days to Cover,5.48699
Float,136.3479
Shares Outstanding,137.6822
Institutions Holding Shares,603.0
% Held by Institutions,0.97955
FCF Growth 5yr,0.5433055806067256
