,PWR
% Below High,0.2207
% Held by Institutions,0.9795999999999999
52-Wk Range,['23.77 - 44.09']
Annual Dividend $,0.2
Annual Dividend %,0.006
Ask,39.15
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,33.07
Bid Size,100.0
Closing Price,34.36
Day Change $,1.15
Day Change %,0.0346
Day High,34.5
Day Low,33.63
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",2.17
Ex-dividend,2020-04-03 00:00:00
Ex-dividend Date,04/03/20
Historical Volatility,0.443
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,4.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.87
Prev Close,33.21
Shares Outstanding,137.7M
Short Interest,0.0525
Today's Open,33.66
Volume,1381336.0
Volume 10-day Avg,1471382.0
Volume Past Day,(Average)
