,ZBH
Price/Earnings (TTM),22.28032
Price/Sales (TTM),3.1553
Price/Book (MRQ),2.02639
Price/Cash Flow (TTM),11.78248
5yr Low,74.37
5yr High,161.11
5yr Avg Return,0.036266666666666676
EPS Growth 5yr,0.0546827
Revenue Growth 5yr,0.1130119
Dividend Growth 5yr,0.0175546
Short Int Current Month,2682581.0
Short Int Prev Month,2225533.0
Short Int Pct of Float,0.0130067
Days to Cover,1.34166
Float,206.2735
Shares Outstanding,206.6816
Institutions Holding Shares,1237.0
% Held by Institutions,0.927292
FCF Growth 5yr,0.3455809550344111
