,ZBH
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-0.891025641025641
Growth 1yr High Est,-0.04309252217997461
Growth 1yr Consensus Est,-0.4670590816028078
Growth 2yr Low Est,2.33684012066365
Growth 2yr High Est,0.05130142102921803
Growth 2yr Consensus Est,1.1940707708464342
Growth 5yr Low Est,1.1631712215903214
Growth 5yr High Est,0.020653288581703177
Growth 5yr Consensus Est,0.5919122550860123
Growth 5yr Actual/Est,0.0680499423261326
Growth 3yr Historic,-0.00461578961094844
