,ZBH
% Below High,0.24359999999999998
% Held by Institutions,0.9273
52-Wk Range,['74.37 - 161.11']
Annual Dividend $,0.96
Annual Dividend %,0.008
Ask,136.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,121.8
Bid Size,100.0
Closing Price,121.86
Day Change $,2.46
Day Change %,0.0206
Day High,121.86
Day Low,119.5
Dividend Pay Date,2020-04-30 00:00:00
"EPS (TTM, GAAP)",5.47
Ex-dividend,2020-03-26 00:00:00
Ex-dividend Date,03/26/20
Historical Volatility,0.433
Last (size),170.0
Last (time),6:30p ET 05/08/20
Market Cap,25.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.28
Prev Close,119.4
Shares Outstanding,206.7M
Short Interest,0.013000000000000001
Today's Open,120.99
Volume,1465575.0
Volume 10-day Avg,1362890.0
Volume Past Day,(Average)
