,ANET
% Above Low,0.39189999999999997
% Held by Institutions,0.6137
52-Wk Range,['156.63 - 289.45']
Annual Dividend $,
Annual Dividend %,
Ask,220.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,214.2
Bid Size,100.0
Change Since Close,-0.01| |(0.00%)
Closing Price,218.01
Day Change $,7.58
Day Change %,0.036000000000000004
Day High,218.77
Day Low,211.93
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",9.89
Ex-dividend Date,No dividend
Historical Volatility,0.54
Last (size),2.0
Last (time),6:30p ET 05/08/20
Last Trade,218.0
Market Cap,16.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.27
Prev Close,210.43
Shares Outstanding,75.7M
Short Interest,0.0489
Today's Open,213.28
Volume,1084784.0
Volume 10-day Avg,1004492.0
Volume Past Day,(Average)
