,ANET
Price/Earnings (TTM),21.27242
Price/Sales (TTM),6.81282
Price/Book (MRQ),5.5883
Price/Cash Flow (TTM),19.14807
5yr Low,52.51
5yr High,331.27
5yr Avg Return,0.29750000000000004
EPS Growth 5yr,0.5246173000000001
Revenue Growth 5yr,0.32779339999999996
Dividend Growth 5yr,
Short Int Current Month,2642935.0
Short Int Prev Month,2172900.0
Short Int Pct of Float,0.0488825
Days to Cover,3.30366
Float,54.12687
Shares Outstanding,75.70452
Institutions Holding Shares,731.0
% Held by Institutions,0.613733
FCF Growth 5yr,0.6975774413251548
