,RHI
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.6233766233766234
Growth 1yr High Est,-0.23645320197044328
Growth 1yr Consensus Est,-0.4299149126735333
Growth 2yr Low Est,-0.1978952082400358
Growth 2yr High Est,0.026934689337358986
Growth 2yr Consensus Est,-0.08548025945133841
Growth 5yr Low Est,-0.09859680549335718
Growth 5yr High Est,0.06159619957680943
Growth 5yr Consensus Est,-0.018500302958273873
Growth 5yr Actual/Est,0.08839524711275082
Growth 3yr Historic,0.11719848710845943
