,RHI
Price/Earnings (TTM),12.58901
Price/Sales (TTM),0.88831
Price/Book (MRQ),4.8055
Price/Cash Flow (TTM),10.85033
5yr Low,32.38
5yr High,79.91
5yr Avg Return,-0.01575
EPS Growth 5yr,0.11579729999999999
Revenue Growth 5yr,0.0528676
Dividend Growth 5yr,0.1148536
Short Int Current Month,7696324.0
Short Int Prev Month,7061043.0
Short Int Pct of Float,0.0692043
Days to Cover,3.74298
Float,111.2113
Shares Outstanding,114.6022
Institutions Holding Shares,675.0
% Held by Institutions,0.9409069999999999
FCF Growth 5yr,0.05856642319523355
