,ATVI
% Below High,0.022099999999999998
% Held by Institutions,0.9081
52-Wk Range,['41.84 - 74.80']
Annual Dividend $,0.41
Annual Dividend %,0.005600000000000001
Ask,73.19
Ask Size,300.0
Ask close,73.16
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.6
Bid,73.01
Bid Size,100.0
Bid close,73.11
Change Since Close,-0.10| |(-0.14%)
Closing Price,73.14
Day Change $,0.04
Day Change %,0.0005
Day High,74.0
Day Low,72.51
Dividend Pay Date,2020-05-06 00:00:00
"EPS (TTM, GAAP)",2.02
Ex-dividend,2020-04-14 00:00:00
Ex-dividend Date,04/14/20
Historical Volatility,0.392
Last (size),50.0
Last (time),4:15p ET 05/08/20
Last Trade,73.04
Market Cap,56.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.16
Prev Close,73.1
Shares Outstanding,770.5M
Short Interest,0.0208
Today's Open,73.18
Volume,6088430.0
Volume 10-day Avg,9509956.0
Volume Past Day,(Light)
