,ATVI
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,31.0
Growth 1yr Low Est,0.19907407407407396
Growth 1yr High Est,0.3728070175438598
Growth 1yr Consensus Est,0.2859405458089669
Growth 2yr Low Est,0.13042506792506792
Growth 2yr High Est,0.3173939241073932
Growth 2yr Consensus Est,0.22390949601623056
Growth 5yr Low Est,0.07179244064086582
Growth 5yr High Est,0.15158911891644172
Growth 5yr Consensus Est,0.11169077977865377
Growth 5yr Actual/Est,0.08608033779086413
Growth 3yr Historic,0.0014338731443994945
