,ATVI,Rating Since
newConstructs,3,2020-05-08
researchTeam,accumulate,2020-05-01
cfra,4,2020-03-27
theStreet,buy,2019-08-14
creditSuisse,outperform,2012-10-10
ford,2,2020-05-01
marketEdge opinion,long,2020-05-01
marketEdge,0,2020-05-01
