,ATVI
Price/Earnings (TTM),36.16484
Price/Sales (TTM),8.72946
Price/Book (MRQ),4.32472
Price/Cash Flow (TTM),27.09114
5yr Low,24.04
5yr High,84.68
5yr Avg Return,0.2503166666666667
EPS Growth 5yr,0.108132
Revenue Growth 5yr,0.08040660000000001
Dividend Growth 5yr,0.1309264
Short Int Current Month,15738620.0
Short Int Prev Month,17751490.0
Short Int Pct of Float,0.020751
Days to Cover,2.00803
Float,759.8948
Shares Outstanding,770.4855
Institutions Holding Shares,1373.0
% Held by Institutions,0.908137
FCF Growth 5yr,0.1453818590371228
