,MA
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,35.0
Growth 1yr Low Est,-0.3315719947159842
Growth 1yr High Est,-0.017721518987341867
Growth 1yr Consensus Est,-0.17464675685166303
Growth 2yr Low Est,0.001210050072837976
Growth 2yr High Est,0.13224748792900942
Growth 2yr Consensus Est,0.0667287690009237
Growth 5yr Low Est,0.15431939514423168
Growth 5yr High Est,0.21584215500741016
Growth 5yr Consensus Est,0.18508077507582094
Growth 5yr Actual/Est,0.1963624802821082
Growth 3yr Historic,0.15356426749920937
