,MA
% Below High,0.1866
% Held by Institutions,0.7639
52-Wk Range,['199.99 - 347.25']
Annual Dividend $,1.6
Annual Dividend %,0.005699999999999999
Ask,283.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,282.51
Bid Size,300.0
Closing Price,282.44
Day Change $,3.97
Day Change %,0.0143
Day High,283.42
Day Low,279.5
Dividend Pay Date,2020-05-08 00:00:00
"EPS (TTM, GAAP)",7.79
Ex-dividend,2020-04-08 00:00:00
Ex-dividend Date,04/08/20
Historical Volatility,0.449
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,283.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",35.75
Prev Close,278.47
Shares Outstanding,1.0B
Short Interest,0.0078000000000000005
Today's Open,283.4
Volume,3217825.0
Volume 10-day Avg,4566175.0
Volume Past Day,(Light)
