,MA
Price/Earnings (TTM),35.74996
Price/Sales (TTM),16.26372
Price/Book (MRQ),51.79398
Price/Cash Flow (TTM),32.64456
5yr Low,74.61
5yr High,347.25
5yr Avg Return,0.22693333333333332
EPS Growth 5yr,0.20671130000000001
Revenue Growth 5yr,0.1232756
Dividend Growth 5yr,0.2457309
Short Int Current Month,6872677.0
Short Int Prev Month,6531662.0
Short Int Pct of Float,0.0078063
Days to Cover,1.13896
Float,868.5082
Shares Outstanding,993.0407
Institutions Holding Shares,2811.0
% Held by Institutions,0.763861
FCF Growth 5yr,0.15168618131274908
