,MKC
Price/Earnings (TTM),30.93592
Price/Sales (TTM),4.01117
Price/Book (MRQ),6.00194
Price/Cash Flow (TTM),26.15486
5yr Low,75.68
5yr High,174.58
5yr Avg Return,0.14511666666666664
EPS Growth 5yr,0.0936083
Revenue Growth 5yr,0.0473452
Dividend Growth 5yr,0.09027139999999999
Short Int Current Month,3382703.0
Short Int Prev Month,3070734.0
Short Int Pct of Float,0.027377500000000003
Days to Cover,3.92461
Float,130.6461
Shares Outstanding,132.9039
Institutions Holding Shares,1112.0
% Held by Institutions,0.818282
FCF Growth 5yr,0.11249201834713415
