,MKC
% Below High,0.0605
% Held by Institutions,0.8183
52-Wk Range,['112.23 - 174.58']
Annual Dividend $,2.48
Annual Dividend %,0.0154
Ask,164.84
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.3
Bid,154.55
Bid Size,100.0
Closing Price,164.03
Day Change $,3.17
Day Change %,0.0197
Day High,164.59
Day Low,161.13
Dividend Pay Date,2020-04-27 00:00:00
"EPS (TTM, GAAP)",5.2
Ex-dividend,2020-04-09 00:00:00
Ex-dividend Date,04/09/20
Historical Volatility,0.37200000000000005
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,21.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.94
Prev Close,160.86
Shares Outstanding,132.9M
Short Interest,0.0274
Today's Open,162.5
Volume,533685.0
Volume 10-day Avg,663214.0
Volume Past Day,(Below Average)
