,KHC
% Below High,0.1158
% Held by Institutions,1.0346
52-Wk Range,['19.99 - 33.43']
Annual Dividend $,1.6
Annual Dividend %,0.0555
Ask,29.66
Ask Size,900.0
B/A Ratio,0.5555555555555556
B/A Size,500x900
Beta,1.0
Bid,29.56
Bid Size,500.0
Closing Price,29.56
Day Change $,0.73
Day Change %,0.0253
Day High,29.67
Day Low,28.93
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",1.56
Ex-dividend,2020-05-28 00:00:00
Ex-dividend Date,05/28/20
Historical Volatility,0.441
Last (size),1.0
Last (time),4:00p ET 05/08/20
Market Cap,36.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.47
Prev Close,28.83
Shares Outstanding,1.2B
Short Interest,0.055999999999999994
Today's Open,29.09
Volume,5297448.0
Volume 10-day Avg,6874935.0
Volume Past Day,(Light)
