,KHC
Price/Earnings (TTM),18.47082
Price/Sales (TTM),1.39922
Price/Book (MRQ),0.69067
Price/Cash Flow (TTM),12.11329
5yr Low,19.99
5yr High,97.77
5yr Avg Return,-0.10825000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.17990659999999997
Dividend Growth 5yr,
Short Int Current Month,17713673.0
Short Int Prev Month,16151099.0
Short Int Pct of Float,0.0560203
Days to Cover,2.3792
Float,317.3132
Shares Outstanding,1221.833
Institutions Holding Shares,1247.0
% Held by Institutions,1.0345820000000001
FCF Growth 5yr,-1.1060839644427372
