,AMT
% Below High,0.08470000000000001
% Held by Institutions,0.9148000000000001
52-Wk Range,['174.32 - 260.43']
Annual Dividend $,4.32
Annual Dividend %,0.0184
Ask,240.66
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,236.0
Bid Size,100.0
Change Since Close,0.64| |(0.27%)
Closing Price,238.36
Day Change $,3.11
Day Change %,0.0132
Day High,240.25
Day Low,236.68
Dividend Pay Date,2020-04-29 00:00:00
"EPS (TTM, GAAP)",4.27
Ex-dividend,2020-04-13 00:00:00
Ex-dividend Date,04/13/20
Historical Volatility,0.41600000000000004
Last (size),10.0
Last (time),6:30p ET 05/08/20
Last Trade,239.0
Market Cap,105.7B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",55.04
Prev Close,235.25
Shares Outstanding,443.3M
Short Interest,0.0088
Today's Open,237.65
Volume,1879719.0
Volume 10-day Avg,2099474.0
Volume Past Day,(Below Average)
