,AMT
Price/Earnings (TTM),55.03774
Price/Sales (TTM),13.43915
Price/Book (MRQ),28.69631
Price/Cash Flow (TTM),27.87401
5yr Low,83.07
5yr High,260.43
5yr Avg Return,0.1778
EPS Growth 5yr,0.1617691
Revenue Growth 5yr,0.1307836
Dividend Growth 5yr,0.2247492
Short Int Current Month,3898175.0
Short Int Prev Month,3808531.0
Short Int Pct of Float,0.0088235
Days to Cover,1.42244
Float,441.6447
Shares Outstanding,443.3064
Institutions Holding Shares,1788.0
% Held by Institutions,0.91479
FCF Growth 5yr,0.1530605889550226
