,DFS
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-1.2145251396648045
Growth 1yr High Est,-0.37227074235807867
Growth 1yr Consensus Est,-0.7933979410114416
Growth 2yr Low Est,-1.9588250698324021
Growth 2yr High Est,0.3912559331687867
Growth 2yr Consensus Est,-0.7837845683318077
Growth 5yr Low Est,-0.8615861018657971
Growth 5yr High Est,0.311011023854452
Growth 5yr Consensus Est,-0.2752875390056726
Growth 5yr Actual/Est,0.39151772291923365
Growth 3yr Historic,0.11935671266657177
