,DFS
Price/Earnings (TTM),6.05164
Price/Sales (TTM),1.07036
Price/Book (MRQ),1.36224
Price/Cash Flow (TTM),4.7707
5yr Low,23.25
5yr High,92.98
5yr Avg Return,0.011499999999999996
EPS Growth 5yr,0.1313575
Revenue Growth 5yr,0.0956418
Dividend Growth 5yr,0.1279875
Short Int Current Month,6706027.0
Short Int Prev Month,5500206.0
Short Int Pct of Float,0.021493099999999998
Days to Cover,1.24589
Float,304.7017
Shares Outstanding,306.3008
Institutions Holding Shares,1127.0
% Held by Institutions,0.851804
FCF Growth 5yr,0.10280341160546513
