,DFS
% Above Low,0.8373999999999999
% Held by Institutions,0.8518000000000001
52-Wk Range,['23.25 - 92.98']
Annual Dividend $,1.76
Annual Dividend %,0.0435
Ask,43.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.9
Bid,42.72
Bid Size,100.0
Closing Price,42.72
Day Change $,2.24
Day Change %,0.0553
Day High,42.85
Day Low,41.48
Dividend Pay Date,2020-06-04 00:00:00
"EPS (TTM, GAAP)",6.69
Ex-dividend,2020-05-20 00:00:00
Ex-dividend Date,05/20/20
Historical Volatility,0.752
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,13.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.05
Prev Close,40.48
Shares Outstanding,306.3M
Short Interest,0.0215
Today's Open,42.21
Volume,3635828.0
Volume 10-day Avg,5628271.0
Volume Past Day,(Light)
