,FDX
Price/Earnings (TTM),
Price/Sales (TTM),0.43778
Price/Book (MRQ),1.97139
Price/Cash Flow (TTM),9.06608
5yr Low,88.69
5yr High,274.66
5yr Avg Return,-0.024533333333333338
EPS Growth 5yr,-0.252125
Revenue Growth 5yr,0.08869880000000001
Dividend Growth 5yr,0.3453159
Short Int Current Month,5693934.0
Short Int Prev Month,5901439.0
Short Int Pct of Float,0.0236258
Days to Cover,1.83403
Float,241.0875
Shares Outstanding,261.2498
Institutions Holding Shares,1550.0
% Held by Institutions,0.7333419999999999
FCF Growth 5yr,0.36901287456038023
