,FDX
Next Earnings Announcement,2020-06-23 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.48874172185430464
Growth 1yr High Est,-0.36375078665827565
Growth 1yr Consensus Est,-0.42624625425629015
Growth 2yr Low Est,-0.3628941769893285
Growth 2yr High Est,-0.09829478007493397
Growth 2yr Consensus Est,-0.23059447853213125
Growth 5yr Low Est,-0.1138759959583707
Growth 5yr High Est,0.026608835317688873
Growth 5yr Consensus Est,-0.04363358032034091
Growth 5yr Actual/Est,-0.014773554935944871
Growth 3yr Historic,0.06460799307535853
