,KR
% Below High,0.095
% Held by Institutions,0.8234
52-Wk Range,['20.70 - 36.84']
Annual Dividend $,0.64
Annual Dividend %,0.0196
Ask,33.4
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,33.17
Bid Size,100.0
Closing Price,33.34
Day Change $,0.66
Day Change %,0.0202
Day High,33.52
Day Low,32.55
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",2.04
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.331
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,25.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.02
Prev Close,32.68
Shares Outstanding,777.9M
Short Interest,0.056299999999999996
Today's Open,32.7
Volume,7917201.0
Volume 10-day Avg,9602009.0
Volume Past Day,(Below Average)
