,KR
Price/Earnings (TTM),16.01607
Price/Sales (TTM),0.20789
Price/Book (MRQ),2.9937
Price/Cash Flow (TTM),6.10947
5yr Low,19.69
5yr High,42.75
5yr Avg Return,0.0005166666666666674
EPS Growth 5yr,0.0325108
Revenue Growth 5yr,0.024277000000000003
Dividend Growth 5yr,0.1203003
Short Int Current Month,41113891.0
Short Int Prev Month,27019076.0
Short Int Pct of Float,0.0562639
Days to Cover,2.81458
Float,732.0526
Shares Outstanding,777.8918
Institutions Holding Shares,1074.0
% Held by Institutions,0.823414
FCF Growth 5yr,0.17113274865755007
