,NOV
% Above Low,0.6487999999999999
% Held by Institutions,0.9793000000000001
52-Wk Range,['8.00 - 25.81']
Annual Dividend $,0.2
Annual Dividend %,0.016200000000000003
Ask,13.5
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.8
Bid,12.41
Bid Size,100.0
Closing Price,13.19
Day Change $,0.84
Day Change %,0.068
Day High,13.21
Day Low,12.54
Dividend Pay Date,2020-03-27 00:00:00
"EPS (TTM, GAAP)",-21.1
Ex-dividend,2020-03-12 00:00:00
Ex-dividend Date,03/12/20
Historical Volatility,0.755
Last (size),30.0
Last (time),6:30p ET 05/08/20
Market Cap,5.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,12.35
Shares Outstanding,388.2M
Short Interest,0.055099999999999996
Today's Open,12.66
Volume,2713560.0
Volume 10-day Avg,4989096.0
Volume Past Day,(Light)
