,NOV
Price/Earnings (TTM),
Price/Sales (TTM),0.56929
Price/Book (MRQ),0.87396
Price/Cash Flow (TTM),
5yr Low,8.0
5yr High,52.55
5yr Avg Return,-0.17826666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.16933869999999998
Dividend Growth 5yr,-0.34349620000000003
Short Int Current Month,21310687.0
Short Int Prev Month,20651080.0
Short Int Pct of Float,0.0551229
Days to Cover,4.73778
Float,386.5987
Shares Outstanding,388.223
Institutions Holding Shares,705.0
% Held by Institutions,0.9792690000000001
FCF Growth 5yr,-0.02298481976840927
