,AMZN
Price/Earnings (TTM),113.0988
Price/Sales (TTM),3.98587
Price/Book (MRQ),18.10022
Price/Cash Flow (TTM),35.81437
5yr Low,418.36
5yr High,2475.0
5yr Avg Return,0.34335
EPS Growth 5yr,
Revenue Growth 5yr,0.2581346
Dividend Growth 5yr,
Short Int Current Month,4948222.0
Short Int Prev Month,4844546.0
Short Int Pct of Float,0.0117203
Days to Cover,1.06932
Float,422.9493
Shares Outstanding,498.776
Institutions Holding Shares,3957.0
% Held by Institutions,0.558648
FCF Growth 5yr,0.4090275682292058
