,AMZN
% Below High,0.0385
% Held by Institutions,0.5586
52-Wk Range,"['1,626.03 - 2,475.00']"
Annual Dividend $,
Annual Dividend %,
Ask,2380.0
Ask Size,100.0
Ask close,0.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,2379.36
Bid Size,200.0
Bid close,2050.0
Change Since Close,0.08| |(0.00%)
Closing Price,2379.61
Day Change $,12.0
Day Change %,0.0051
Day High,2387.24
Day Low,2357.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",20.93
Ex-dividend Date,No dividend
Historical Volatility,0.316
Last (size),6.0
Last (time),4:15p ET 05/08/20
Last Trade,2379.69
Market Cap,1.2T
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",113.1
Prev Close,2367.61
Shares Outstanding,498.8M
Short Interest,0.011699999999999999
Today's Open,2372.14
Volume,3208373.0
Volume 10-day Avg,5131161.0
Volume Past Day,(Light)
