,GWW
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.2762015055008685
Growth 1yr High Est,-0.09740990990990994
Growth 1yr Consensus Est,-0.18680570770538923
Growth 2yr Low Est,-0.04010075275043429
Growth 2yr High Est,0.022723616473616426
Growth 2yr Consensus Est,-0.00868856813840893
Growth 5yr Low Est,0.001759774722002505
Growth 5yr High Est,0.03419669669669667
Growth 5yr Consensus Est,0.017978235709349588
Growth 5yr Actual/Est,0.12394840179609123
Growth 3yr Historic,0.12314298105359955
