,GWW
% Below High,0.1764
% Held by Institutions,0.7204999999999999
52-Wk Range,['200.61 - 346.60']
Annual Dividend $,5.76
Annual Dividend %,0.020499999999999997
Ask,353.35
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,285.25
Bid Size,100.0
Closing Price,285.45
Day Change $,5.78
Day Change %,0.0207
Day High,285.45
Day Low,281.27
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",14.11
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.42600000000000005
Last (size),2500.0
Last (time),6:30p ET 05/08/20
Market Cap,15.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.93
Prev Close,279.67
Shares Outstanding,53.5M
Short Interest,0.0225
Today's Open,284.42
Volume,200672.0
Volume 10-day Avg,329319.0
Volume Past Day,(Light)
