,LEN
Price/Earnings (TTM),8.05751
Price/Sales (TTM),0.67286
Price/Book (MRQ),0.98939
Price/Cash Flow (TTM),7.37789
5yr Low,25.42
5yr High,72.17
5yr Avg Return,0.06713333333333334
EPS Growth 5yr,0.1547752
Revenue Growth 5yr,0.2339839
Dividend Growth 5yr,0.0
Short Int Current Month,8814428.0
Short Int Prev Month,8761366.0
Short Int Pct of Float,0.032789399999999996
Days to Cover,2.40306
Float,284.5484
Shares Outstanding,312.2409
Institutions Holding Shares,860.0
% Held by Institutions,0.95961
FCF Growth 5yr,-0.027618463865443043
