,LEN
% Below High,0.2433
% Held by Institutions,0.9595999999999999
52-Wk Range,['25.42 - 71.38']
Annual Dividend $,0.5
Annual Dividend %,0.0098
Ask,54.29
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,1.5
Bid,52.82
Bid Size,700.0
Closing Price,54.01
Day Change $,3.17
Day Change %,0.062400000000000004
Day High,54.43
Day Low,51.19
Dividend Pay Date,2020-05-05 00:00:00
"EPS (TTM, GAAP)",6.31
Ex-dividend,2020-04-20 00:00:00
Ex-dividend Date,04/20/20
Historical Volatility,0.598
Last (size),61.0
Last (time),6:30p ET 05/08/20
Market Cap,16.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.06
Prev Close,50.84
Shares Outstanding,312.2M
Short Interest,0.032799999999999996
Today's Open,52.09
Volume,2615784.0
Volume 10-day Avg,3423655.0
Volume Past Day,(Light)
