,MU
Price/Earnings (TTM),23.34601
Price/Sales (TTM),2.64385
Price/Book (MRQ),1.39935
Price/Cash Flow (TTM),6.69381
5yr Low,9.31
5yr High,64.66
5yr Avg Return,0.22473333333333334
EPS Growth 5yr,0.16754619999999998
Revenue Growth 5yr,0.0742847
Dividend Growth 5yr,
Short Int Current Month,38625590.0
Short Int Prev Month,31578316.0
Short Int Pct of Float,0.0348252
Days to Cover,1.31548
Float,1109.494
Shares Outstanding,1112.186
Institutions Holding Shares,1430.0
% Held by Institutions,0.797903
FCF Growth 5yr,-0.9260065224227825
