,MU
Next Earnings Announcement,2020-06-25 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.6860841423948221
Growth 1yr High Est,-0.5804416403785488
Growth 1yr Consensus Est,-0.6332628913866855
Growth 2yr Low Est,-0.18324825676442136
Growth 2yr High Est,1.0894784279310263
Growth 2yr Consensus Est,0.4531150855833025
Growth 5yr Low Est,0.17174961780021614
Growth 5yr High Est,0.7423293937218166
Growth 5yr Consensus Est,0.4570395057610164
Growth 5yr Actual/Est,0.3626870008090529
Growth 3yr Historic,0.23516373667161558
