,BWA,Rating Since
newConstructs,2,2020-05-08
researchTeam,hold,2020-04-13
theStreet,hold,2020-02-11
cfra,4,2020-04-01
creditSuisse,neutral,2020-01-27
ford,3,2020-04-09
marketEdge opinion,neutralfromavoid,2020-05-01
marketEdge,2,2020-05-01
