,BWA
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.781578947368421
Growth 1yr High Est,-0.07073170731707312
Growth 1yr Consensus Est,-0.4261553273427471
Growth 2yr Low Est,0.6031864299302474
Growth 2yr High Est,0.07487036681390441
Growth 2yr Consensus Est,0.3390283983720759
Growth 5yr Low Est,0.31166138601020515
Growth 5yr High Est,0.054627454959688876
Growth 5yr Consensus Est,0.183144420484947
Growth 5yr Actual/Est,0.051816152711486985
Growth 3yr Historic,0.01838648778920307
