,QRVO
Price/Earnings (TTM),35.71094
Price/Sales (TTM),3.80414
Price/Book (MRQ),2.74717
Price/Cash Flow (TTM),14.57939
5yr Low,33.3
5yr High,122.37
5yr Avg Return,0.11951666666666667
EPS Growth 5yr,0.3902908
Revenue Growth 5yr,0.2189755
Dividend Growth 5yr,
Short Int Current Month,3597526.0
Short Int Prev Month,2948056.0
Short Int Pct of Float,0.031245099999999998
Days to Cover,1.97944
Float,115.1424
Shares Outstanding,115.6846
Institutions Holding Shares,733.0
% Held by Institutions,0.903261
FCF Growth 5yr,0.5941352519631582
