,VLO
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-2.06401766004415
Growth 1yr High Est,-0.6465863453815262
Growth 1yr Consensus Est,-1.3553020027128382
Growth 2yr Low Est,-1.702133311349876
Growth 2yr High Est,1.5318204636728732
Growth 2yr Consensus Est,-0.08515642383850142
Growth 5yr Low Est,-0.851066655674938
Growth 5yr High Est,0.7659102318364366
Growth 5yr Consensus Est,-0.04257821191925065
Growth 5yr Actual/Est,-1.588372289833548
Growth 3yr Historic,0.06482319888825666
