,VLO
Price/Earnings (TTM),66.99187
Price/Sales (TTM),0.25315
Price/Book (MRQ),1.42637
Price/Cash Flow (TTM),8.53461
5yr Low,31.0
5yr High,126.98
5yr Avg Return,0.045966666666666656
EPS Growth 5yr,-0.0348693
Revenue Growth 5yr,-0.0370712
Dividend Growth 5yr,0.27944800000000003
Short Int Current Month,8600163.0
Short Int Prev Month,8359892.0
Short Int Pct of Float,0.0208095
Days to Cover,1.53141
Float,406.2855
Shares Outstanding,407.6986
Institutions Holding Shares,1463.0
% Held by Institutions,0.78133
FCF Growth 5yr,0.006853265576234291
