,PCAR
Price/Earnings (TTM),11.41645
Price/Sales (TTM),0.99158
Price/Book (MRQ),2.49732
Price/Cash Flow (TTM),7.50179
5yr Low,43.46
5yr High,83.41
5yr Avg Return,0.04351666666666667
EPS Growth 5yr,0.1248432
Revenue Growth 5yr,0.061475499999999995
Dividend Growth 5yr,0.0827852
Short Int Current Month,4997640.0
Short Int Prev Month,4540693.0
Short Int Pct of Float,0.0147279
Days to Cover,2.34962
Float,338.7743
Shares Outstanding,345.7269
Institutions Holding Shares,884.0
% Held by Institutions,0.621742
FCF Growth 5yr,0.20844545034395603
