,PCAR
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.8833087149187592
Growth 1yr High Est,-0.4747474747474747
Growth 1yr Consensus Est,-0.6790280948331169
Growth 2yr Low Est,1.2229026045659368
Growth 2yr High Est,0.10191197691197695
Growth 2yr Consensus Est,0.6624072907389569
Growth 5yr Low Est,0.7566945528273453
Growth 5yr High Est,0.1873513907548391
Growth 5yr Consensus Est,0.47202297179109226
Growth 5yr Actual/Est,0.1424194388268517
Growth 3yr Historic,0.1414375677139762
