,WMT
Price/Earnings (TTM),23.69375
Price/Sales (TTM),0.66488
Price/Book (MRQ),4.66279
Price/Cash Flow (TTM),13.30286
5yr Low,56.3
5yr High,133.38
5yr Avg Return,0.10343333333333332
EPS Growth 5yr,0.0091447
Revenue Growth 5yr,0.0153024
Dividend Growth 5yr,0.020015900000000003
Short Int Current Month,16920644.0
Short Int Prev Month,14059765.0
Short Int Pct of Float,0.0093775
Days to Cover,1.72337
Float,1390.968
Shares Outstanding,2833.702
Institutions Holding Shares,2567.0
% Held by Institutions,0.294767
FCF Growth 5yr,-0.00848035720610743
