,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 1/2018,Neutral,4.42,,,4.32,,4.52,,4.42,4.42,,
Year ending 1/2019,Neutral,4.91,,0.11085972850678738,4.78,0.1064814814814814,4.93,0.09070796460176989,4.855,4.91,0.11085972850678738,0.09859472304162564
Year ending 1/2020,Neutral,4.93,,0.004073319755600657,4.9,0.025104602510460206,5.05,0.024340770791074995,4.975,4.93,0.004073319755600657,0.0247226866507676
Year ending 1/2021,Neutral,,5.05,0.0,4.11,-0.1612244897959184,5.42,0.07326732673267333,5.05,5.05,0.024340770791074995,-0.04397858153162254
Year ending 1/2022,Neutral,,5.42,0.0,5.0,0.21654501216544997,5.76,0.0627306273062731,5.42,5.42,0.07326732673267333,0.13963781973586153
