,WMT,Rating Since
newConstructs,3,2020-05-08
researchTeam,hold,2020-04-03
theStreet,buy,2017-02-22
cfra,4,2019-07-15
ford,3,2020-03-27
marketEdge opinion,long,2020-05-01
marketEdge,-1,2020-05-01
creditSuisse,outperform,2020-03-18
