,WMT
% Below High,0.0783
% Held by Institutions,0.2948
52-Wk Range,['98.85 - 133.38']
Annual Dividend $,2.16
Annual Dividend %,0.0177
Ask,123.15
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.3
Bid,122.9
Bid Size,100.0
Closing Price,122.94
Day Change $,1.05
Day Change %,0.0086
Day High,123.01
Day Low,121.62
Dividend Pay Date,2020-09-08 00:00:00
"EPS (TTM, GAAP)",5.19
Ex-dividend,2020-08-13 00:00:00
Ex-dividend Date,08/13/20
Historical Volatility,0.28800000000000003
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,348.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.69
Prev Close,121.89
Shares Outstanding,2.8B
Short Interest,0.009399999999999999
Today's Open,122.75
Volume,6944352.0
Volume 10-day Avg,8330110.0
Volume Past Day,(Below Average)
